id,width,height,area
gm_00000201,3804,6436,24482544
gm_00001201,4500,6843,30793500
gm_00002501,3914,4797,18775458
gm_00002701,10828,8226,89071128
gm_00004301,3596,3806,13686376
gm_00007801,4164,3171,13204044
gm_00008801,3608,4056,14634048
gm_00010501,3758,6483,24363114
gm_00010701,11107,7485,83135895
gm_00012401,4439,6247,27730433
gm_00014401,4608,6084,28035072
gm_00014501,4482,5782,25914924
gm_00015901,5872,5048,29641856
gm_00019201,5472,4891,26763552
gm_00019601,2325,3268,7598100
gm_00020501,5098,6546,33371508
gm_00021401,7216,5140,37090240
gm_00021601,5447,4610,25110670
gm_00024101,7032,4625,32523000
gm_00025001,6444,4188,26987472
gm_00027301,4935,2823,13931505
gm_00028401,4656,2990,13921440
gm_00028501,5521,6231,34401351
gm_00029101,2862,5388,15420456
gm_00029801,6235,4861,30308335
gm_00030001,4214,3318,13982052
gm_00033601,3338,4174,13932812
gm_00034701,4177,3350,13992950
gm_00034801,3128,4460,13950880
gm_00036301,2713,4609,12504217
gm_00038101,6944,4126,28650944
gm_00040201,5047,6596,33290012
gm_00043601,5076,3681,18684756
gm_00044201,2943,4737,13940991
gm_00045001,7892,9867,77870364
gm_00046101,4593,6840,31416120
gm_00048401,4910,2846,13973860
gm_00050201,4143,3113,12897159
gm_00053601,7165,8261,59190065
gm_00054001,9575,2094,20050050
gm_00054801,6034,9317,56218778
gm_00055601,5674,9032,51247568
gm_00058401,6427,9175,58967725
gm_00059501,7446,6025,44862150
gm_00059701,14661,3842,56327562
gm_00061301,3240,4313,13974120
gm_00061401,15482,4340,67191880
gm_00063401,6661,9564,63705804
gm_00064101,8762,4760,41707120
gm_00064501,4043,3439,13903877
gm_00066101,1825,6488,11840600
gm_00066201,1988,6938,13792744
gm_00068001,4227,9563,40422801
gm_00071101,3293,9347,30779671
gm_00073301,2900,4759,13801100
gm_00078801,6219,8140,50622660
gm_00080501,9023,4067,36696541
gm_00080601,3946,3165,12489090
gm_00081801,3254,4296,13979184
gm_00082001,9124,6974,63630776
gm_00083301,5478,6774,37107972
gm_00084201,7568,5891,44583088
gm_00084801,6071,8145,49448295
gm_00086901,7715,7455,57515325
gm_00087301,5544,6544,36279936
gm_00087401,6672,9048,60368256
gm_00087701,6059,7056,42752304
gm_00088001,3302,4234,13980668
gm_00088301,3132,4335,13577220
gm_00088501,8948,7207,64488236
gm_00088701,6217,8693,54044381
gm_00088801,6631,8047,53359657
gm_00091001,13673,9147,125066931
gm_00092201,3048,4524,13789152
gm_00092601,4241,3234,13715394
gm_00092701,8110,6925,56161750
gm_00092801,3410,4060,13844600
gm_00093701,4430,3115,13799450
gm_00093801,3488,3902,13610176
gm_00094401,6767,8424,57005208
gm_00094501,7171,9477,67959567
gm_00094701,9123,7186,65557878
gm_00096001,7887,10973,86544051
gm_00103901,4298,9827,42236446
gm_00104401,13432,14460,194226720
gm_00104601,9268,7147,66238396
gm_00104701,7116,7122,50680152
gm_00106901,9750,7572,73827000
gm_00113801,5238,7200,37713600
gm_00117401,3525,3965,13976625
gm_00119701,2980,4632,13803360
gm_00126301,3462,3475,12030450
gm_00129801,3070,4581,14063670
gm_00130301,3340,4226,14114840
gm_00131001,5700,2118,12072600
gm_00134001,3895,3014,11739530
gm_00134101,3804,3676,13983504
gm_00140201,4800,6761,32452800
gm_00141001,6525,9092,59325300
gm_00142101,2860,4487,12832820
gm_00143701,4094,3372,13804968
gm_00147901,5103,6194,31607982
gm_00148701,2870,4892,14040040
gm_00184101,3956,5504,21773824
gm_00186401,6623,9581,63454963
gm_00258501,3105,4504,13984920
gm_00260601,3105,4504,13984920
gm_00265001,3105,4504,13984920
gm_00265101,3105,4504,13984920
gm_00281601,3116,4488,13984608
gm_00283901,2949,4337,12789813
gm_00325601,3108,4495,13970460
gm_00328001,4226,6059,25605334
gm_00332001,4437,6134,27216558
gm_00343401,3027,4620,13984740
gm_00382001,3069,4551,13967019
gm_00417901,3171,4411,13987281
