Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,44,0,7,7.106482863636401,4.315533000000649,15.750504999999748,995.9772727272727,8.793607171300238,0.0,7,7,8,9,10,10,16,16,16,16,16
GET,htj2k-lossless-round1,44,0,7,7.213018840909052,4.702980000000023,11.27468800000031,961.9772727272727,8.793607171300238,0.0,7,8,8,8,10,10,11,11,11,11,11
GET,htj2k-lossy-round1,44,0,7,7.0812049318181645,4.65164600000012,11.713515999999924,958.9772727272727,8.793607171300238,0.0,7,8,8,8,9,10,12,12,12,12,12
GET,htj2k_bodelian_lossy,44,0,7,7.1981677272727405,4.723120999999608,14.942599000000278,992.9772727272727,8.793607171300238,0.0,7,8,8,8,10,10,15,15,15,15,15
GET,htj2k_lossless,44,0,6,6.804464568181802,4.522082999999455,10.733663999999976,978.9772727272727,8.793607171300238,0.0,7,7,7,8,9,10,11,11,11,11,11
GET,htj2k_lossless_plt,44,0,6,6.749866227272722,5.003275000000196,9.777992999999263,982.9772727272727,8.793607171300238,0.0,7,7,8,8,9,9,10,10,10,10,10
GET,htj2k_lossy_3bpp_plt,44,0,7,7.075462159090891,4.842599999999919,10.974377999999785,984.9772727272727,8.793607171300238,0.0,7,7,8,8,9,10,11,11,11,11,11
GET,htj2k_lossy_Qfactor_90_plt,44,0,7,6.716859136363663,4.458523999999908,11.266368000000249,990.9772727272727,8.793607171300238,0.0,7,7,8,8,8,9,11,11,11,11,11
GET,j2k1_bodelian_lossy,44,0,6,6.929029000000018,4.857669000000175,21.282330000000016,991.9772727272727,8.793607171300238,0.0,6,7,7,8,8,10,21,21,21,21,21
GET,j2k1_lossless_plt,44,0,7,7.074875204545446,4.560793000000007,10.927702999999678,981.9772727272727,8.793607171300238,0.0,7,8,8,8,9,10,11,11,11,11,11
GET,j2k1_lossy_3bpp_plt,44,0,6,6.901599545454551,4.668659000000019,10.641328000000172,983.9772727272727,8.793607171300238,0.0,7,7,8,8,9,10,11,11,11,11,11
GET,j2k_bodelian_lossless,44,0,7,7.036914909090908,5.415904000000138,10.846204000000359,994.9772727272727,8.793607171300238,0.0,7,7,8,8,9,10,11,11,11,11,11
GET,jp2-lossless-round1,44,0,7,7.085343386363665,4.7900049999993755,11.974670999999937,953.9772727272727,8.793607171300238,0.0,7,7,8,8,10,10,12,12,12,12,12
GET,jp2-lossy-round1,44,0,6,6.624270227272794,4.030086000000099,10.168590000000144,950.9772727272727,8.793607171300238,0.0,6,7,8,8,8,9,10,10,10,10,10
GET,ptiff-lossless-round1,44,0,6,6.920928545454615,4.521672000000088,13.713201999999924,955.9772727272727,8.793607171300238,0.0,6,7,8,8,9,10,14,14,14,14,14
GET,ptiff-lossy-round1,44,0,7,6.944356204545456,4.403431999999929,13.864989999999967,952.9772727272727,8.793607171300238,0.0,7,7,8,8,8,9,14,14,14,14,14
,Aggregated,704,0,7,6.966427717329551,4.030086000000099,21.282330000000016,975.9147727272727,140.6977147408038,0.0,7,7,8,8,9,10,11,12,21,21,21
