Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,50,0,830.0,1077.8039163999997,490.2576140000008,5762.25851199996,434012.12,0.11540423562465799,0.0,830,910,990,1100,1700,2300,5800,5800,5800,5800,5800
GET,htj2k-lossless-round1,50,0,170.0,203.8011959999991,50.818086999981915,1109.2485720000127,433982.54,0.11540423562465799,0.0,190,260,270,300,340,360,1100,1100,1100,1100,1100
GET,htj2k-lossy-round1,50,0,180.0,202.92983226000305,54.871895999980325,748.3377219999738,384234.78,0.11540423562465799,0.0,200,250,280,300,330,350,750,750,750,750,750
GET,htj2k_bodelian_lossy,50,0,690.0,873.0248622200016,194.27130900001544,4838.229978000016,384655.66,0.11540423562465799,0.0,690,800,850,950,1400,1500,4800,4800,4800,4800,4800
GET,htj2k_lossless,50,0,120.0,133.87165759999763,29.072107999979835,791.4475960000118,433982.54,0.11540423562465799,0.0,120,160,170,180,200,230,790,790,790,790,790
GET,htj2k_lossless_plt,50,0,180.0,200.64379546000123,39.93772299998,1012.5926020000406,433982.54,0.11540423562465799,0.0,190,250,270,280,340,370,1000,1000,1000,1000,1000
GET,htj2k_lossy_3bpp_plt,50,0,180.0,198.6757155599987,57.04039799996963,756.5949099999898,384268.76,0.11540423562465799,0.0,180,240,270,300,320,320,760,760,760,760,760
GET,htj2k_lossy_Qfactor_90_plt,50,0,130.0,152.97340578000058,42.92510899998092,610.9167910000224,384232.34,0.11540423562465799,0.0,130,180,180,210,260,330,610,610,610,610,610
GET,j2k1_bodelian_lossy,50,0,1100.0,1269.422126319998,273.62417399999117,4697.734523999998,384652.4,0.11540423562465799,0.0,1100,1300,1400,1400,1900,2800,4700,4700,4700,4700,4700
GET,j2k1_lossless_plt,50,0,520.0,561.6233176599992,93.0484330000354,3169.1555689999973,433982.54,0.11540423562465799,0.0,540,720,770,790,910,1200,3200,3200,3200,3200,3200
GET,j2k1_lossy_3bpp_plt,50,0,490.0,549.2932781200002,109.06115500000624,2093.2505809999498,384239.56,0.11540423562465799,0.0,510,710,790,830,860,990,2100,2100,2100,2100,2100
GET,j2k1_lossy_Qfactor_90_plt,49,0,320.0,372.71245038775555,76.00790699999038,1427.253582999981,382976.9183673469,0.11309615091216482,0.0,320,430,470,510,720,740,1400,1400,1400,1400,1400
GET,j2k_bodelian_lossless,50,0,1200.0,1438.8192843600027,592.1833390000018,5374.234799000022,434012.12,0.11540423562465799,0.0,1200,1400,1500,1500,2200,4200,5400,5400,5400,5400,5400
GET,jp2-lossless-round1,50,0,520.0,567.2116751000004,100.87629600002401,3289.068616999998,433982.54,0.11540423562465799,0.0,530,720,790,830,940,1100,3300,3300,3300,3300,3300
GET,jp2-lossy-round1,50,0,470.0,557.5598455000013,116.60509799997953,2319.15395499999,384236.38,0.11540423562465799,0.0,520,710,790,830,910,970,2300,2300,2300,2300,2300
GET,ptiff-lossless-round1,50,0,160.0,178.16605599999681,63.438485999995464,987.8305370000362,380731.56,0.11540423562465799,0.0,160,200,220,250,260,290,990,990,990,990,990
GET,ptiff-lossy-round1,50,0,110.0,131.365936840001,46.2848789999839,756.2778629999798,382867.38,0.11540423562465799,0.0,120,140,160,160,190,230,760,760,760,760,760
,Aggregated,849,0,280.0,510.15571864310954,29.072107999979835,5762.25851199996,404438.9363957597,1.9595639209066926,0.0,280,560,740,820,1100,1400,2200,3400,5800,5800,5800
