Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,50,0,110.0,127.20110169999887,24.201673000000312,538.9623639999996,23020.48,0.46183231677468023,0.0,120,130,130,140,190,380,540,540,540,540,540
GET,htj2k-lossless-round1,50,0,76,74.95604439999983,37.35406200000568,104.117770000002,23020.48,0.46183231677468023,0.0,79,84,87,89,98,100,100,100,100,100,100
GET,htj2k-lossy-round1,50,0,69,69.36052010000041,35.52427700000038,101.3496050000029,22823.62,0.46183231677468023,0.0,69,74,80,84,93,94,100,100,100,100,100
GET,htj2k_bodelian_lossy,50,0,81,91.8283440000003,24.407589999995594,386.3341420000097,22907.92,0.46183231677468023,0.0,84,94,110,120,150,300,390,390,390,390,390
GET,htj2k_lossless,49,0,580.0,804.7398443061231,271.4895860000013,4163.952434999999,23056.408163265307,0.45259567043918664,0.0,580,660,760,890,1500,2300,4200,4200,4200,4200,4200
GET,htj2k_lossless_plt,49,0,79,83.9593578571419,44.93566100000024,203.09854500000313,23056.408163265307,0.45259567043918664,0.0,79,88,98,100,110,130,200,200,200,200,200
GET,htj2k_lossy_3bpp_plt,49,0,65,67.20737471428633,46.32192600000451,98.71875999999702,22873.30612244898,0.45259567043918664,0.0,65,72,78,83,89,90,99,99,99,99,99
GET,htj2k_lossy_Qfactor_90_plt,49,0,50,54.56330099999941,31.01227599999845,112.82321400000228,22529.34693877551,0.45259567043918664,0.0,50,63,65,68,82,92,110,110,110,110,110
GET,j2k1_bodelian_lossy,49,0,80,100.82215532653079,24.688976000000196,410.6283590000004,22958.61224489796,0.45259567043918664,0.0,80,100,110,120,200,340,410,410,410,410,410
GET,j2k1_lossless_plt,49,0,99,98.77142908163306,51.24966300000011,150.19084499999911,23056.408163265307,0.45259567043918664,0.0,99,110,110,120,130,140,150,150,150,150,150
GET,j2k1_lossy_3bpp_plt,49,0,86,85.39626838775602,51.22708599999726,149.79785400000088,22910.897959183672,0.45259567043918664,0.0,86,93,95,100,120,120,150,150,150,150,150
GET,j2k1_lossy_Qfactor_90_plt,49,0,68,68.49921789795964,37.22256999999729,116.95535499999998,22529.34693877551,0.45259567043918664,0.0,68,74,80,84,94,110,120,120,120,120,120
GET,j2k_bodelian_lossless,49,0,120.0,143.14397836734662,26.158119999998064,556.7609480000044,23056.408163265307,0.45259567043918664,0.0,120,150,150,160,200,390,560,560,560,560,560
GET,jp2-lossless-round1,50,0,97,98.96078180000058,57.62599499999865,159.1049489999996,23020.48,0.46183231677468023,0.0,98,110,110,120,140,140,160,160,160,160,160
GET,jp2-lossy-round1,50,0,86,86.44384511999993,45.476984000003995,147.32940599999898,22860.34,0.46183231677468023,0.0,86,95,100,100,120,120,150,150,150,150,150
GET,ptiff-lossless-round1,50,0,69,71.38509668000057,44.158899999999335,119.63082100000122,23012.48,0.46183231677468023,0.0,69,74,85,86,93,110,120,120,120,120,120
GET,ptiff-lossy-round1,50,0,60,65.09477557999978,44.080898000004254,106.5001059999986,22968.4,0.46183231677468023,0.0,60,71,75,78,90,95,110,110,110,110,110
,Aggregated,841,0,80,128.54883339952428,24.201673000000312,4163.952434999999,22921.569560047563,7.768019568150121,0.0,80,94,100,110,150,440,660,910,4200,4200,4200
