Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,2146,0,13,49.84394272600161,3.5479709999890474,8298.733925999997,23851.767940354148,0.7979613219664355,0.0,13,17,19,21,27,39,850,1100,2700,8300,8300
GET,htj2k-lossless-round1,2146,0,12,15.788150111833769,3.314231999866024,87.85030899997537,23853.77446411929,0.7979613219664355,0.0,12,16,19,21,28,35,48,57,81,88,88
GET,htj2k-lossy-round1,2146,0,12,14.719695117429143,3.5906530001739156,284.8005279999981,21358.979962721343,0.7979613219664355,0.0,12,14,16,17,22,27,38,48,72,280,280
GET,htj2k_bodelian_lossy,2146,0,12,41.34689063467173,4.02167400000053,6716.8016570000045,21349.31873252563,0.7979613219664355,0.0,12,14,16,18,24,36,610,880,2000,6700,6700
GET,htj2k_lossless,2146,0,23,51.40955575256289,3.650933000017176,846.9703550000531,23853.72273998136,0.7979613219664355,0.0,23,46,61,92,130,140,260,290,810,850,850
GET,htj2k_lossless_plt,2146,0,13,16.341208514444194,4.10747299997638,90.71522300001789,23853.761882572227,0.7979613219664355,0.0,13,17,20,21,28,35,46,53,80,91,91
GET,htj2k_lossy_3bpp_plt,2146,0,12,13.966232042871182,3.7263030001213338,81.45231900000027,21359.644920782852,0.7979613219664355,0.0,12,13,15,17,22,28,38,47,78,81,81
GET,htj2k_lossy_Qfactor_90_plt,2146,0,10,12.156665940353799,3.6386140000104206,79.1412170000001,21286.041006523767,0.7979613219664355,0.0,10,12,13,14,18,23,32,38,61,79,79
GET,j2k1_bodelian_lossy,2146,0,20,49.510686634671465,3.629330999956437,6387.971181000012,21367.06477166822,0.7979613219664355,0.0,20,22,25,26,34,58,590,890,2600,6400,6400
GET,j2k1_lossless_plt,2146,0,55,53.39110158946632,3.6203349999368584,164.03553199999976,23853.752096924512,0.7979613219664355,0.0,55,61,65,67,74,80,92,100,130,160,160
GET,j2k1_lossy_3bpp_plt,2146,0,54,55.1075122572234,3.941919999988386,171.23501399999697,21374.36626281454,0.7979613219664355,0.0,54,63,68,71,79,86,98,110,150,170,170
GET,j2k1_lossy_Qfactor_90_plt,2145,0,40,40.403652714219,3.4719220000170026,112.52304200002072,21282.37202797203,0.7975894853765164,0.0,40,46,49,52,58,64,73,89,110,110,110
GET,j2k_bodelian_lossless,2146,0,25,62.062090261879945,3.5243830000126763,7869.065252999973,23851.75815470643,0.7979613219664355,0.0,25,29,32,34,42,55,820,1100,3700,7900,7900
GET,jp2-lossless-round1,2146,0,55,52.47582028658163,3.6273599999958606,252.8590909999977,23853.69617893756,0.7979613219664355,0.0,55,60,63,66,72,78,89,98,130,250,250
GET,jp2-lossy-round1,2146,0,53,54.2033912437095,3.426932999957444,159.24038200000723,21372.460857409133,0.7979613219664355,0.0,53,62,67,70,78,85,94,110,140,160,160
GET,ptiff-lossless-round1,2146,0,9,10.552059095059917,3.8086639999619365,92.50470200000649,21067.30382106244,0.7979613219664355,0.0,9,10,11,11,14,19,35,47,72,93,93
GET,ptiff-lossy-round1,2146,0,9,10.069852507922814,3.6845519999815224,89.75168799999977,21168.6477166822,0.7979613219664355,0.0,9,10,10,11,12,16,34,43,69,90,90
,Aggregated,36481,0,18,35.490954011513146,3.314231999866024,8298.733925999997,22350.525369370356,13.564970636839487,0.0,18,29,41,48,63,74,100,140,1500,7700,8300
